"","x"
"1",564.679042151899
"2",532.814289396624
"3",550.722565721519
"4",525.42749557384
"5",553.011152751055
"6",544.055539902954
"7",535.889815805907
"8",575.462858059072
"9",547.851723392405
"10",550.325499978903
"11",546.866411253164
"12",578.22664935865
"13",582.317035042194
"14",554.738499696203
"15",543.365923755274
"16",564.771577924051
"17",588.019000801688
"18",580.377960945147
"19",543.23892543038
"20",556.3718947173
"21",536.731927194093
"22",557.098444898734
"23",566.162003468354
"24",524.733894759494
"25",543.273962561182
"26",591.522492978903
"27",582.056456848101
"28",632.194443105485
"29",604.231345206751
"30",634.073195451477
"31",641.504702620253
"32",621.516535886076
"33",576.80252071308
"34",624.403282097046
"35",636.007163092827
