,mean
1,538.4402715
2,514.4699478
3,529.4270403
4,513.4398354
5,535.3924695
6,523.5783043
7,516.3089911
8,550.7864734
9,529.3396971
10,527.3966387
11,527.1556804
12,553.4001131
13,558.4112364
14,527.5361952
15,518.9186909
16,544.3496265
17,554.2783486
18,557.3157133
19,523.4585486
20,533.0393319
21,515.8176988
22,532.6927195
23,542.0488268
24,505.4689961
25,523.6780178
26,555.6909977
27,555.1349226
28,590.8808833
29,570.1192559
30,589.9926787
31,599.2217104
32,591.2378574
33,547.7638447
34,594.1691652
35,601.6256546
