"","x"
"1",620.940071390071
"2",604.882501070922
"3",622.387298404255
"4",616.331049638298
"5",631.892399539007
"6",608.739820035461
"7",598.664612148936
"8",637.555658212766
"9",616.684090312057
"10",611.028544390071
"11",617.969076695035
"12",647.689339964539
"13",664.698116624113
"14",616.751579191489
"15",608.903055432624
"16",647.548476546099
"17",636.690318702128
"18",651.740098489362
"19",620.782322836879
"20",625.559987886525
"21",606.832987751773
"22",620.026714042553
"23",633.302387631205
"24",587.578207177305
"25",609.216805751773
"26",627.149445163121
"27",636.676653971631
"28",670.101388404255
"29",650.01152635461
"30",660.779149156028
"31",679.015158319149
"32",695.77010348227
"33",625.56279606383
"34",692.02978812766
"35",694.314659446809
