"","x"
"1",573.913009385965
"2",550.779638008772
"3",566.428123622807
"4",550.429655482456
"5",577.870750254386
"6",561.715233921053
"7",553.985090078947
"8",595.333468666667
"9",576.024015666667
"10",571.151082263158
"11",575.201219324561
"12",599.410819078947
"13",602.876992675438
"14",562.276536307018
"15",548.648987131579
"16",582.119751508772
"17",585.093845657895
"18",595.324020447368
"19",556.458063675439
"20",568.674009526316
"21",550.163860491228
"22",570.403243763158
"23",580.836190342105
"24",542.570660675439
"25",564.34118845614
"26",586.807832508772
"27",596.33716418421
"28",633.335959754386
"29",613.511558350877
"30",631.53944072807
"31",641.050102692982
"32",639.891405973684
"33",589.051960026316
"34",642.525089114035
"35",647.004614649123
