"","x"
"1",456.407014093023
"2",433.909509131783
"3",446.362178728682
"4",431.481694410853
"5",450.405460255814
"6",442.61365548062
"7",436.837503604651
"8",466.101350116279
"9",446.088289488372
"10",446.309143093023
"11",442.845173302326
"12",464.238483209302
"13",464.645141790698
"14",444.107573108527
"15",437.74948668217
"16",456.668528224806
"17",469.101416232558
"18",470.096335674419
"19",438.318716596899
"20",446.244342046511
"21",432.568733643411
"22",448.568138100775
"23",456.936071162791
"24",427.364600651163
"25",443.121590085271
"26",474.428896488372
"27",470.457348372093
"28",496.433440193798
"29",481.691368503876
"30",501.276768852713
"31",507.891736868217
"32",493.924342775194
"33",465.380336015504
"34",499.46230772093
"35",507.182335713178
