"","x"
"1",599.412063797386
"2",570.052892058824
"3",586.289220320262
"4",566.204417464052
"5",590.676294267974
"6",579.314877326798
"7",571.12019220915
"8",613.377333098039
"9",589.077726111111
"10",587.336579705882
"11",586.774880986928
"12",616.597516372549
"13",620.469575797385
"14",586.132644320262
"15",575.98535030719
"16",602.34086724183
"17",615.635510254902
"18",616.692886993464
"19",579.195265522876
"20",589.719777647059
"21",569.621977078431
"22",587.965828718954
"23",599.200240738562
"24",553.326734320262
"25",578.616328457516
"26",620.200545228758
"27",618.611495352941
"28",661.710179058824
"29",639.239885633987
"30",662.783781647059
"31",672.340003745098
"32",661.057439921569
"33",609.404421771242
"34",661.422819816993
"35",670.461157104575
