"","x"
"1",597.062744135417
"2",569.089422708333
"3",585.086580020833
"4",566.6914536875
"5",594.131519052083
"6",582.317482614583
"7",574.5236254375
"8",619.164812875
"9",595.515364354167
"10",591.2874801875
"11",592.13167784375
"12",619.353557625
"13",621.330517489583
"14",584.905927114583
"15",572.925240197917
"16",602.34998446875
"17",612.826812447917
"18",616.208270479167
"19",575.86420409375
"20",588.508782604167
"21",569.2946923125
"22",589.251611260417
"23",601.152952864583
"24",558.751280145833
"25",585.760352927083
"26",618.666151666667
"27",622.58560046875
"28",662.5101929375
"29",642.39441071875
"30",666.330801875
"31",676.098706166667
"32",662.8585734375
"33",612.499772739583
"34",664.04802890625
"35",672.271796958333
