"","x"
"1",556.488769787879
"2",528.163763818182
"3",541.597832939394
"4",518.929443121212
"5",546.421149030303
"6",541.311293909091
"7",535.200316787879
"8",570.815696636364
"9",546.297105424242
"10",543.834316181818
"11",542.155820545455
"12",566.933967939394
"13",564.589856969697
"14",539.495130030303
"15",532.97473969697
"16",550.025117515151
"17",571.746305212121
"18",568.824380606061
"19",533.057259878788
"20",542.918356030303
"21",526.003888363636
"22",544.511693272727
"23",554.09156
"24",515.544540606061
"25",538.082278484848
"26",583.368411181818
"27",575.130458575758
"28",610.247641636363
"29",591.267210363636
"30",616.300936757576
"31",620.708923818182
"32",597.961596424242
"33",567.61580669697
"34",606.019515181818
"35",616.350487666667
