"","x"
"1",548.091361989131
"2",524.121521333333
"3",537.767984188406
"4",520.218395619565
"5",543.198470706522
"6",531.320094141304
"7",525.601266644928
"8",557.150492985507
"9",537.93032175
"10",532.621337713768
"11",533.13081407971
"12",558.531390496377
"13",562.405551289855
"14",528.659121916667
"15",520.885239438406
"16",548.931378804348
"17",558.493557974638
"18",567.338525434783
"19",531.34798223913
"20",542.910362485507
"21",525.303396264493
"22",543.520779913044
"23",552.155954039855
"24",517.081089137681
"25",532.308263431159
"26",563.531026391304
"27",566.314477876812
"28",599.029510985507
"29",576.710649278986
"30",594.360491021739
"31",600.186612706522
"32",593.911761007246
"33",556.567789862319
"34",602.410736166667
"35",608.722292387681
