"","x"
"1",649.732271672414
"2",619.168261189655
"3",641.004328160919
"4",622.201116172414
"5",650.94204237931
"6",635.318233316092
"7",624.04999745977
"8",668.217947816092
"9",637.456970229885
"10",636.303459442528
"11",637.370991816092
"12",676.065723867816
"13",688.832756454023
"14",645.455264068965
"15",634.67876591954
"16",664.109410712644
"17",677.965637252873
"18",676.379003350575
"19",638.409992810345
"20",650.524811022988
"21",627.952575045977
"22",646.442534568965
"23",657.769910775862
"24",604.934642528736
"25",628.090378436781
"26",674.982451568966
"27",668.863235471264
"28",720.1348335
"29",691.535056183908
"30",718.223609942529
"31",733.184788482758
"32",726.317394091954
"33",661.750118362069
"34",727.132707873564
"35",737.222207390805
