"","x"
"1",480.51718195
"2",457.409018725
"3",469.689691558333
"4",453.458088291667
"5",473.232185641666
"6",467.167701508333
"7",461.882592825
"8",487.995907633333
"9",469.488840733333
"10",471.8357952
"11",468.36036095
"12",489.008223183333
"13",489.994717875
"14",475.050189325
"15",466.553447075
"16",479.40189085
"17",494.1500118
"18",489.05426705
"19",460.644937525
"20",469.026171475
"21",457.044331875
"22",472.305440691667
"23",479.502195108333
"24",451.284544625
"25",464.798705541667
"26",495.361370816667
"27",491.286381025
"28",522.197962208333
"29",508.757161941667
"30",528.318991158333
"31",535.363356975
"32",519.304431933333
"33",490.1573135
"34",519.460753008333
"35",527.788846508333
