"","x"
"1",538.917836973333
"2",509.618880106667
"3",524.5268086
"4",503.5268386
"5",532.286887466667
"6",525.281279626667
"7",518.585180173333
"8",557.93773152
"9",532.588568053333
"10",529.616769586667
"11",527.957680506667
"12",554.981940053333
"13",554.20926688
"14",524.309386133333
"15",516.11280836
"16",537.77211044
"17",555.319711293333
"18",554.76008512
"19",516.0027972
"20",526.87445236
"21",508.962346893333
"22",528.97632148
"23",540.072978533333
"24",499.02881004
"25",522.582757573333
"26",565.928630453333
"27",561.004731106667
"28",598.743587826667
"29",578.482356186667
"30",603.56424376
"31",608.928569493333
"32",588.861590186667
"33",551.699102533333
"34",595.974883413333
"35",606.485855053333
