"","x"
"1",371.313623267544
"2",351.70629802193
"3",359.968430298246
"4",348.64836720614
"5",362.465268644737
"6",358.011667083333
"7",354.317990859649
"8",374.055761482456
"9",354.749349833333
"10",357.203273324561
"11",351.877290429825
"12",369.606100868421
"13",368.934322789474
"14",360.929223535088
"15",355.864053754386
"16",368.141613048246
"17",386.488771197368
"18",383.589008798246
"19",355.855282833333
"20",364.046787232456
"21",351.072207635965
"22",363.582221241228
"23",368.727564732456
"24",350.039642995614
"25",359.451102548246
"26",391.616409122807
"27",383.232577429824
"28",404.473965561404
"29",389.336211820175
"30",408.723488315789
"31",412.048448328947
"32",393.670610666667
"33",377.79588975
"34",400.34138106579
"35",408.491385995614
