"","x"
"1",588.278172504065
"2",571.763479219512
"3",591.705820788618
"4",581.245970308943
"5",599.657810658537
"6",576.279272235773
"7",564.243472235772
"8",607.273538430895
"9",593.10191700813
"10",585.792843747967
"11",591.478316934959
"12",619.201520642276
"13",631.842654170732
"14",577.88689495122
"15",571.857357113821
"16",614.328711439024
"17",598.927221495935
"18",615.528653373984
"19",585.091745666667
"20",586.241007813008
"21",567.974456707317
"22",582.802288162602
"23",595.444353691057
"24",551.511157934959
"25",579.013552089431
"26",589.150628837398
"27",601.290322910569
"28",635.61251604878
"29",615.274631211382
"30",622.239252528455
"31",641.213755
"32",660.453692422764
"33",591.66988604878
"34",659.352829569106
"35",661.413274756098
