"","x"
"1",260.069691616352
"2",223.212175014675
"3",236.6187419413
"4",248.407852492662
"5",261.717840555555
"6",238.247301834381
"7",229.717280377358
"8",273.423244719078
"9",252.936671127883
"10",256.564018358491
"11",223.836275928721
"12",253.248930589099
"13",262.764925433962
"14",242.183840643606
"15",253.945221350105
"16",242.827820666667
"17",267.047370257862
"18",260.024479396227
"19",233.224125555556
"20",230.743287773585
"21",232.32251663522
"22",235.422727157233
"23",266.737625421384
"24",232.300531400419
"25",210.694349775681
"26",272.577050421384
"27",257.935758205451
"28",301.400240333333
"29",285.417985955975
"30",300.637405823899
"31",305.29551109434
"32",263.247665553459
"33",255.365330146751
"34",279.711194702306
"35",320.832454792453
