"","x"
"1",81.6755774095238
"2",64.3799867238095
"3",70.2535657428571
"4",79.2445408380952
"5",86.1390979619047
"6",73.512488552381
"7",69.2712012666667
"8",91.4917977428571
"9",79.8661725238095
"10",82.5333573428572
"11",70.0872936285714
"12",81.5483797619048
"13",81.2220284285714
"14",75.1479282285714
"15",76.654962752381
"16",72.9252392285714
"17",84.5022988190476
"18",82.2156038666667
"19",70.1875018
"20",71.3846329142857
"21",71.8567664857143
"22",73.3850135142857
"23",88.0734948095238
"24",71.6603929904762
"25",62.2432733238095
"26",91.3465763619048
"27",79.6453885428571
"28",103.101216057143
"29",91.8858427333333
"30",101.816596
"31",106.516677790476
"32",83.8076497333333
"33",80.6072697619048
"34",91.4932322952381
"35",112.322101457143
