"","x"
"1",548.904337581196
"2",519.397347978633
"3",518.292063978632
"4",524.608891320513
"5",546.730059636752
"6",513.476070837607
"7",518.797423918803
"8",559.850523799145
"9",539.089589034188
"10",546.443782452992
"11",492.759019957265
"12",533.466838068376
"13",544.586029145299
"14",522.359179393162
"15",535.618153538462
"16",517.433336957265
"17",548.143063132479
"18",540.436201115384
"19",517.988761102564
"20",509.904399606838
"21",520.940362380342
"22",527.292163564103
"23",548.511472893162
"24",530.71116882906
"25",500.493376358975
"26",568.299630726496
"27",539.634647837607
"28",577.110567307692
"29",567.029877692308
"30",575.461084760684
"31",578.16738665812
"32",569.388268666667
"33",549.992098512821
"34",569.607293611111
"35",612.427717260684
