"","x"
"1",546.975388105263
"2",516.441250064328
"3",522.752772590643
"4",524.333879105263
"5",542.132208766082
"6",515.455463444444
"7",509.256276365497
"8",557.212516362573
"9",534.915060263158
"10",537.716466590643
"11",486.569187540936
"12",528.28841524269
"13",549.468450821637
"14",521.192181131579
"15",545.764581570176
"16",524.530729795321
"17",557.60211951462
"18",546.723686552632
"19",523.611910064328
"20",511.260905064327
"21",513.423352181286
"22",511.465913897661
"23",542.348352622807
"24",520.426907611111
"25",487.648695096491
"26",560.370173459064
"27",548.715470178363
"28",591.898495593567
"29",575.736049967836
"30",587.363723002924
"31",584.258315725146
"32",540.987815131579
"33",538.321481605263
"34",563.586044570176
"35",611.722375491228
