"","x"
"1",403.065046531401
"2",367.64487163285
"3",371.962265231884
"4",386.842770806763
"5",407.547301603865
"6",375.355235628019
"7",376.166919855072
"8",420.971663024155
"9",397.679585811594
"10",405.645833381643
"11",356.889038463768
"12",396.16331110628
"13",404.774695309179
"14",381.1318972657
"15",389.498531497585
"16",374.503272850241
"17",405.298540101449
"18",399.327083545894
"19",368.279284560386
"20",368.121930048309
"21",380.617636400966
"22",387.583880198068
"23",414.145308072464
"24",382.648826826087
"25",352.871514014493
"26",422.394385096618
"27",396.195230618358
"28",442.432460463768
"29",427.488586879227
"30",441.746256990338
"31",450.137818613527
"32",425.532980376812
"33",404.977668352657
"34",424.726739821256
"35",475.347413724638
