"","x"
"1",147.335815933333
"2",126.14449512381
"3",131.576671371429
"4",141.131659649524
"5",150.19845944
"6",134.127615700952
"7",129.705080554286
"8",158.258222935238
"9",145.099648144762
"10",149.736434948571
"11",126.692711459048
"12",146.233203100952
"13",149.62619171619
"14",137.022934718095
"15",141.543520001905
"16",133.315480020952
"17",149.815661499048
"18",147.716264238095
"19",128.493485481905
"20",129.380624152381
"21",132.745629337143
"22",135.70631056381
"23",153.405762628571
"24",129.86960840381
"25",115.523749062857
"26",154.213868649524
"27",144.817380047619
"28",174.987996537143
"29",162.82317836381
"30",172.483350662857
"31",177.627398154286
"32",155.976450710476
"33",146.184377373333
"34",159.565460413333
"35",188.315122870476
