"","x"
"1",247.34711326087
"2",214.818101855072
"3",222.120750528985
"4",236.800173188406
"5",253.946978985507
"6",229.636836065217
"7",224.969746289855
"8",266.51657684058
"9",247.90546984058
"10",254.652461304348
"11",218.907310304348
"12",248.094508217391
"13",253.30711742029
"14",234.503872869565
"15",239.344474833333
"16",227.245562978261
"17",252.773840985507
"18",249.659485463768
"19",218.731989956522
"20",222.757239550725
"21",229.574599152174
"22",233.676499623188
"23",258.559026543478
"24",224.190310413043
"25",202.775108630435
"26",260.176856028986
"27",243.267467449275
"28",288.061634304348
"29",269.576005681159
"30",282.820599021739
"31",293.935141268116
"32",266.551295768116
"33",248.488656202899
"34",266.787172992754
"35",311.016193608696
