"","x"
"1",762.923646260869
"2",767.606507275362
"3",762.796759275362
"4",735.063735072464
"5",736.29541615942
"6",727.963660826087
"7",727.381724057971
"8",743.921899086957
"9",742.910645449275
"10",744.762702304348
"11",695.780085652174
"12",731.644944
"13",758.30741031884
"14",740.798488376812
"15",777.667221188406
"16",749.578849275362
"17",763.421995855073
"18",758.642497536232
"19",752.139976144928
"20",730.509135666667
"21",729.658959623188
"22",726.324374347826
"23",733.104061681159
"24",738.557659246377
"25",722.633426014493
"26",747.588462318841
"27",761.974859043479
"28",763.523938913043
"29",766.742251333333
"30",758.072920304348
"31",745.898861623188
"32",772.679085391304
"33",757.689138913043
"34",770.809725898551
"35",772.681411869565
