"","x"
"1",807.41051882716
"2",805.272428635802
"3",797.934402203704
"4",779.734099296296
"5",787.21828745679
"6",767.376267938272
"7",763.448677308642
"8",798.100026790123
"9",787.389780993827
"10",792.210584969136
"11",739.69178337037
"12",780.755118376543
"13",803.864903691358
"14",784.236497728395
"15",816.909192679012
"16",783.664927691358
"17",807.957574895062
"18",797.137127166666
"19",786.491021049383
"20",764.145124265432
"21",766.551524555555
"22",762.855181154321
"23",777.657500907407
"24",776.566145790124
"25",747.327961734568
"26",793.518727740741
"27",802.520393524691
"28",834.69810645679
"29",817.739012166667
"30",828.624441734568
"31",815.329717512345
"32",816.182696018518
"33",801.885519882716
"34",824.215639246914
"35",840.450154944445
