"","x"
"1",749.581389598291
"2",726.028603564103
"3",719.432547444445
"4",719.771051196581
"5",746.717714965812
"6",707.527198675214
"7",705.12057974359
"8",761.396963649573
"9",733.973075333333
"10",740.64608725641
"11",674.858497341881
"12",728.413510145299
"13",748.679624444444
"14",722.24518408547
"15",754.122636316239
"16",707.360519820513
"17",751.31163991453
"18",729.406859299145
"19",712.749784965812
"20",682.777042324786
"21",697.260576401709
"22",695.435962358974
"23",727.562176811966
"24",713.795660760684
"25",659.474053948718
"26",759.198656547008
"27",739.036842025641
"28",812.461310470085
"29",764.533729401709
"30",801.818505504273
"31",780.479836162393
"32",755.917660675214
"33",745.030001333333
"34",792.805399461538
"35",832.181877880342
