"","x"
"1",605.956484230159
"2",586.487036293651
"3",583.325024642857
"4",580.457108373016
"5",595.454717547619
"6",572.050375126984
"7",580.720098888889
"8",604.8190545
"9",593.382970063492
"10",600.914047809524
"11",554.599355904762
"12",591.457953785714
"13",609.335235690476
"14",590.30946297619
"15",606.295357
"16",587.043312460317
"17",608.54353315873
"18",604.727923222222
"19",584.961421468254
"20",575.640185587302
"21",583.39550418254
"22",588.699701365079
"23",599.780594285714
"24",589.382098380952
"25",570.269482785714
"26",620.013686103175
"27",599.45711681746
"28",617.43198097619
"29",619.096279714286
"30",612.742559261905
"31",615.502604349207
"32",633.14650734127
"33",606.809835920635
"34",620.273090849206
"35",649.952159753968
