"","x"
"1",659.215194666667
"2",650.592066011111
"3",654.036435888889
"4",636.122860388889
"5",638.402806611111
"6",633.034065911111
"7",632.1763925
"8",644.632727177778
"9",645.266069544444
"10",649.784002511111
"11",613.105899944444
"12",643.359150944445
"13",667.452823488889
"14",650.400801111111
"15",675.404326055556
"16",654.248248111111
"17",663.789014877778
"18",666.581199411111
"19",647.921696755556
"20",638.021643922222
"21",641.074344488889
"22",643.4292603
"23",651.9408076
"24",643.625848644444
"25",640.333487555556
"26",661.986560566667
"27",659.556705277778
"28",654.852243944444
"29",666.035670366667
"30",651.823121566667
"31",657.815986888889
"32",691.317488622222
"33",660.416818255555
"34",671.449168355556
"35",678.984508355555
