"","x"
"1",697.056287619047
"2",680.031847003968
"3",672.355380301588
"4",668.289021150794
"5",688.391129940476
"6",659.231057420635
"7",658.17095240873
"8",702.771965900794
"9",680.186293793651
"10",687.147659686508
"11",631.977836662698
"12",677.416887178571
"13",698.525441948413
"14",675.207029793651
"15",704.135517630952
"16",663.691661480159
"17",699.61385854365
"18",679.901048634921
"19",675.312419702381
"20",644.144247472222
"21",656.526363563492
"22",652.580980928571
"23",677.017862305556
"24",678.079750865079
"25",630.027625797619
"26",710.769013115079
"27",693.821174337302
"28",742.958474142857
"29",710.566902769841
"30",735.929681337302
"31",713.969913837301
"32",688.388106353175
"33",691.039285230159
"34",726.343713150794
"35",758.688854269841
