"","x"
"1",457.673742186352
"2",422.924785409449
"3",436.8747775958
"4",446.283745372704
"5",456.256727795276
"6",439.814797530184
"7",423.458750955381
"8",475.166553496063
"9",451.399527832021
"10",453.267076097113
"11",414.543465808399
"12",447.616447845145
"13",460.738417089239
"14",438.71258108399
"15",453.693234246719
"16",447.242363207349
"17",469.209153133858
"18",463.356810257218
"19",438.98438867979
"20",432.531287212599
"21",425.678131286089
"22",425.471898532809
"23",458.221101375328
"24",431.787245535433
"25",408.916235485564
"26",467.211393440945
"27",460.866773044619
"28",502.933161868766
"29",488.615250971128
"30",497.88892600525
"31",503.330049902887
"32",435.171535706037
"33",443.745870401575
"34",462.209723519685
"35",512.706802167979
