"","x"
"1",689.611776883333
"2",680.663350716667
"3",673.555072825
"4",661.736645
"5",674.685690383333
"6",651.053731725
"7",655.488190483333
"8",685.172272266667
"9",674.762381708333
"10",677.862937983333
"11",628.584143333333
"12",666.216075058333
"13",684.784419783333
"14",666.8414972
"15",695.20201745
"16",667.742940683333
"17",690.005894941667
"18",681.461972216667
"19",673.577218541667
"20",650.825662258334
"21",654.237171925
"22",653.74556575
"23",667.002283183333
"24",669.656853591667
"25",645.001487925
"26",698.680018333333
"27",683.860922016667
"28",707.9844763
"29",694.8454708
"30",695.829594241667
"31",683.210210008333
"32",692.8918935
"33",681.456044675
"34",705.508269716667
"35",725.242302816667
