"","x"
"1",484.208197240741
"2",442.634785777778
"3",446.73134112963
"4",464.314642
"5",490.796057962963
"6",452.900909111111
"7",457.782330611111
"8",500.906781
"9",474.176148518519
"10",483.935859296296
"11",427.594418759259
"12",472.003749444444
"13",481.261069222222
"14",455.237613611111
"15",461.859999296296
"16",445.6445895
"17",480.435515111111
"18",472.938980703704
"19",439.859547333333
"20",442.79161337037
"21",459.631962648148
"22",470.457963277778
"23",495.464232722222
"24",459.247074611111
"25",424.959896555556
"26",499.769525555556
"27",470.458723907407
"28",519.656128277778
"29",506.485951481481
"30",522.128102185185
"31",536.654387222222
"32",519.299929296296
"33",491.702392703704
"34",510.479581462963
"35",563.581640407407
