"","x"
"1",214.409322190972
"2",177.865568215278
"3",192.496459524305
"4",209.515657784722
"5",221.157272013889
"6",200.442107965278
"7",187.642596270833
"8",234.26965465625
"9",210.417105774306
"10",213.778236538194
"11",185.898280319444
"12",210.514578239583
"13",212.212471045139
"14",197.413046052083
"15",203.563057638889
"16",198.672197100694
"17",220.126182284722
"18",215.745075111111
"19",192.917505166667
"20",191.969552677083
"21",190.458321246528
"22",192.779678854167
"23",223.873369416667
"24",193.437110510417
"25",174.758227642361
"26",231.236194256944
"27",210.86164321875
"28",258.289302298611
"29",237.920169319444
"30",258.775275899306
"31",269.099171100694
"32",214.409212246528
"33",210.554474399306
"34",231.852157736111
"35",273.425331805556
