"","x"
"1",725.006357
"2",667.464266083333
"3",692.354675583333
"4",703.619596166667
"5",697.436846916667
"6",703.157943833333
"7",675.058137333333
"8",720.625782083333
"9",692.490527666667
"10",683.360617666667
"11",659.696566166667
"12",705.076029083333
"13",720.766906166667
"14",687.148397166667
"15",675.7134675
"16",729.80395625
"17",726.347057083333
"18",700.714559916667
"19",667.343095916667
"20",679.406046083333
"21",633.227088833333
"22",666.238859333333
"23",689.50824675
"24",648.101292833333
"25",669.095936333333
"26",767.815897833333
"27",697.8254925
"28",766.319614583333
"29",736.7767255
"30",739.18804075
"31",766.413143916667
"32",753.99927875
"33",701.024857583333
"34",742.992704166667
"35",765.447090916667
