"","x"
"1",167.019421977901
"2",147.787401802947
"3",157.160257930018
"4",163.026044909761
"5",162.147468823204
"6",163.499659674033
"7",155.187865887661
"8",164.782727924494
"9",156.315549775322
"10",152.493672145488
"11",147.46349721547
"12",162.069709581952
"13",168.293780252302
"14",159.540936913444
"15",156.33621879558
"16",173.489895799263
"17",173.325534209945
"18",165.377902705341
"19",153.782025191529
"20",158.146533893186
"21",144.914292626151
"22",151.122286576427
"23",158.687240346225
"24",146.406357254144
"25",152.782130731123
"26",177.661924130755
"27",160.202963966851
"28",179.298753158379
"29",172.28699374954
"30",174.244248677716
"31",183.71520986372
"32",178.508740744015
"33",163.140889233886
"34",174.348507578269
"35",181.359625832413
