"","x"
"1",629.079000640902
"2",583.073978349437
"3",600.347691468599
"4",609.667607687601
"5",601.473231468599
"6",605.153487866344
"7",582.484131214171
"8",615.860884178744
"9",593.273486769726
"10",589.165918088567
"11",573.792194304348
"12",609.793769412239
"13",627.486900085346
"14",609.569098748792
"15",598.605834141707
"16",636.957812341385
"17",633.224600950081
"18",612.545385979066
"19",582.119176618357
"20",594.437819438003
"21",558.414826351047
"22",581.278530529791
"23",594.515623930757
"24",563.698105690821
"25",579.62947436554
"26",642.78285968599
"27",599.201298399356
"28",650.329965045088
"29",631.853630447665
"30",636.255147819646
"31",658.300137083736
"32",655.566808149758
"33",613.905558824476
"34",647.691932774557
"35",655.927152148148
