"","x"
"1",81.4204951280101
"2",66.1267769809886
"3",71.9536257820025
"4",74.8105210114069
"5",73.2742019163498
"6",73.6230649493029
"7",68.5141796641318
"8",76.4724409138149
"9",70.6404440899873
"10",68.3463793574145
"11",65.0853539404309
"12",75.4270370735107
"13",80.0816722040558
"14",73.8637625842839
"15",72.04928626109
"16",83.0283710164765
"17",83.2276368656527
"18",77.1045331115336
"19",70.4253200101394
"20",74.3686419214195
"21",65.3084159429658
"22",69.4380894765526
"23",74.6953859569075
"24",64.9081236844106
"25",67.6418387756654
"26",83.756857617237
"27",72.7158866565272
"28",86.082663712294
"29",80.9860910228137
"30",83.2904271330799
"31",92.4281069632446
"32",92.9217147097592
"33",78.4581244474018
"34",87.8376985500634
"35",89.0479764841571
