"","x"
"1",567.55380586214
"2",522.292956351852
"3",542.304509283951
"4",551.810271104938
"5",544.451959304527
"6",549.406103090535
"7",526.765176343622
"8",558.120699932099
"9",536.997184294239
"10",534.203241047325
"11",519.605284765432
"12",554.606341656379
"13",569.925716623457
"14",546.650947144033
"15",536.714584958848
"16",574.417102979424
"17",571.318830946502
"18",550.151968666667
"19",524.031585353909
"20",534.69373767284
"21",501.191245244856
"22",525.69361395679
"23",542.552444063786
"24",511.578235057613
"25",526.526223222222
"26",595.684304302469
"27",545.400692602881
"28",596.313561430041
"29",575.710993230452
"30",578.818172082304
"31",599.885000572016
"32",592.275641693416
"33",553.042842376543
"34",583.5398073107
"35",598.572652479424
