"","x"
"1",267.630022870731
"2",242.649965672798
"3",253.16489816798
"4",257.994537206341
"5",255.263602468734
"6",257.196995600455
"7",246.469321045192
"8",261.387890813277
"9",250.911327280785
"10",247.996112151165
"11",241.06380926537
"12",259.314763206516
"13",267.647952554037
"14",256.921310146611
"15",252.258587549834
"16",272.157187007182
"17",270.930853879489
"18",260.112973141882
"19",247.100647614644
"20",252.765678728674
"21",236.373195827991
"22",246.410303246978
"23",254.731930395341
"24",238.26219508145
"25",245.779066688387
"26",277.16099482659
"27",254.942918938343
"28",279.878936064985
"29",270.497679162025
"30",272.73493276143
"31",285.105909987914
"32",282.894947611666
"33",261.216617739009
"34",277.248139504817
"35",282.671188169732
