"","x"
"1",181.738677953771
"2",159.194695815085
"3",169.763402671533
"4",175.894140416058
"5",175.057633065693
"6",175.271969481752
"7",165.608904768857
"8",178.184683321168
"9",166.941778871046
"10",161.853687576642
"11",155.577498759124
"12",174.445008194647
"13",182.109864569343
"14",171.563189946472
"15",166.150510819951
"16",186.717318783455
"17",186.308196542579
"18",177.700215746959
"19",164.538412077859
"20",172.642365600973
"21",156.146375788321
"22",164.536889323601
"23",173.642933622871
"24",156.018843591241
"25",163.717791907543
"26",196.328067099757
"27",174.55440163017
"28",198.316652863747
"29",188.313283296837
"30",191.470354931873
"31",203.05853709489
"32",195.210774664234
"33",176.305390138686
"34",190.991599116788
"35",199.667163603406
