"","x"
"1",389.485623914414
"2",353.316271385135
"3",369.28862290991
"4",373.899610594595
"5",371.436234795045
"6",374.315753011261
"7",360.872087135135
"8",380.235216527027
"9",367.469460833333
"10",363.121322171171
"11",354.271777349099
"12",378.511110164414
"13",388.817681932432
"14",373.995331867117
"15",367.617101587838
"16",393.691573549549
"17",390.353378545045
"18",374.424471036036
"19",358.806058650901
"20",363.815625441442
"21",344.389182216216
"22",357.506050218468
"23",368.326355925676
"24",347.192097382883
"25",357.591640745495
"26",398.206189222973
"27",369.765073524775
"28",401.908307418919
"29",390.492566236486
"30",392.907213693694
"31",408.036388668919
"32",409.508020376126
"33",380.14295993018
"34",402.403520761261
"35",406.491520763513
