"","x"
"1",740.745155571428
"2",688.653443976191
"3",708.469445407143
"4",717.992596907143
"5",713.131742504762
"6",715.5837172
"7",695.366740657143
"8",724.466038626191
"9",704.315165454762
"10",698.093220638095
"11",684.591581502382
"12",722.169802059524
"13",741.955894761905
"14",720.675401997619
"15",711.811149123809
"16",748.386576309524
"17",748.097515214285
"18",726.183866814286
"19",702.429259221429
"20",714.570740259524
"21",684.701107304762
"22",702.848161238095
"23",720.10623972619
"24",683.732568071428
"25",699.649899104762
"26",758.919301090476
"27",716.307810052381
"28",762.900061014286
"29",745.036389897619
"30",746.734059854762
"31",776.192647935714
"32",771.627936380952
"33",726.113712828571
"34",759.088258614286
"35",770.381721478571
