"","x"
"1",500.58324364986
"2",450.222436114846
"3",473.071908521009
"4",482.189524445378
"5",475.443299014005
"6",481.757222523809
"7",458.712825016807
"8",490.895571565827
"9",469.228611266106
"10",465.823728481793
"11",451.155258829132
"12",488.640709330532
"13",506.884551142857
"14",482.19700672549
"15",472.664178182073
"16",515.691361148459
"17",512.243672492997
"18",487.161990812325
"19",463.382567341737
"20",472.365124509804
"21",439.478222857143
"22",462.558398162465
"23",479.882847142857
"24",446.042721655462
"25",461.299988210084
"26",528.362510263305
"27",477.757945607843
"28",532.656031193277
"29",511.605001577031
"30",515.251400753502
"31",537.444779697479
"32",529.165028661065
"33",487.806439170868
"34",518.464112369748
"35",535.786679098039
