"","x"
"1",88.1816985517387
"2",76.9254451501272
"3",81.8842715988125
"4",83.7644656263783
"5",83.0678161463104
"6",84.1964199652247
"7",79.6752500932994
"8",85.4369933456319
"9",81.5242580975403
"10",80.0933832446988
"11",77.3744393396947
"12",84.7078388159457
"13",87.6741899796438
"14",83.0935973922816
"15",81.4773353240034
"16",90.2224498638677
"17",89.6638210199321
"18",85.0854743049194
"19",80.1385413774385
"20",82.1502536034775
"21",75.6120871034775
"22",79.3138297111959
"23",83.0007634206955
"24",76.2200616649703
"25",79.1884344194232
"26",91.6407862005938
"27",82.8107223036472
"28",93.1414501501272
"29",89.4046156221373
"30",90.7325637782019
"31",96.210953024173
"32",96.0479000016963
"33",86.3548639130618
"34",92.8615827828669
"35",94.3777061162002
