"","x"
"1",627.41658475
"2",550.127891
"3",603.775357333333
"4",626.163417916667
"5",626.829905
"6",643.564176
"7",611.783406083333
"8",663.421308583333
"9",630.581268416667
"10",641.06791825
"11",613.68555675
"12",601.58420025
"13",642.510066916667
"14",616.313572166667
"15",627.429773083333
"16",623.3888375
"17",638.903156583333
"18",650.043568333333
"19",622.7915365
"20",615.534006166667
"21",600.255558916667
"22",633.96210675
"23",638.415374583333
"24",621.626539
"25",601.681019083333
"26",706.844096583333
"27",668.502559916667
"28",676.74532875
"29",648.742598
"30",683.9631255
"31",694.869664333333
"32",672.5002585
"33",667.446069666667
"34",688.625752416667
"35",687.469628666667
