"","x"
"1",137.388304755064
"2",111.486350353591
"3",134.395167804788
"4",145.230343946593
"5",142.01186928361
"6",142.397928745856
"7",137.283023755064
"8",145.504105725599
"9",138.263413163904
"10",140.668429033149
"11",136.756108370166
"12",136.538923880295
"13",148.990148622468
"14",139.334787174954
"15",138.895908948435
"16",139.263016906077
"17",144.156125583794
"18",146.380817031308
"19",141.157520845304
"20",138.130819423573
"21",134.663633169429
"22",141.502769112339
"23",145.243990309392
"24",144.607926200737
"25",144.056607801105
"26",146.498409653775
"27",150.046435233886
"28",151.612543073665
"29",145.583155629834
"30",158.437612471455
"31",170.045388134438
"32",166.070124760589
"33",156.841165211786
"34",159.82865501105
"35",159.91122101105
