"","x"
"1",538.600617779388
"2",488.4531301562
"3",522.798760541063
"4",533.950107487923
"5",526.395330231884
"6",529.6969926876
"7",515.768319077295
"8",545.275123346216
"9",533.906207845411
"10",540.927217428341
"11",526.698150309179
"12",526.982755516908
"13",553.836783402576
"14",542.349033953301
"15",541.916649225443
"16",540.669477932367
"17",541.061902080515
"18",544.132205352657
"19",527.352320046699
"20",522.133251107891
"21",515.273743141707
"22",543.824966552335
"23",540.5689544219
"24",525.07463737037
"25",518.894356979066
"26",566.344177774557
"27",549.974235433172
"28",559.604290115942
"29",544.793010732689
"30",567.586579239936
"31",577.082272017713
"32",573.465296661836
"33",563.18900094364
"34",579.270220674718
"35",570.54048763285
