"","x"
"1",59.6940492661597
"2",41.8093786020279
"3",57.3273278618504
"4",63.0497699024081
"5",60.4683313929024
"6",58.7003195754119
"7",55.2287311837769
"8",63.2238814942966
"9",59.086564833967
"10",60.0367266159696
"11",57.2419911330798
"12",57.4011289505703
"13",66.0166444499366
"14",60.3097601913815
"15",60.8317632750317
"16",61.6413353688213
"17",62.4559859860583
"18",62.9066065323194
"19",59.2457873624842
"20",58.3262513029151
"21",55.2484377705957
"22",60.3052344245881
"23",63.8642824790875
"24",64.2320074917617
"25",65.0171629759189
"26",58.7465458225602
"27",62.9769131115336
"28",63.1054283168568
"29",61.4026678555133
"30",68.3659926058301
"31",83.5269015880862
"32",84.0225901558936
"33",75.1175768377694
"34",78.3807649493029
"35",73.5720468884665
