"","x"
"1",499.464268462963
"2",439.98660894856
"3",481.61136423251
"4",499.389816561728
"5",496.036632376543
"6",505.525956403292
"7",484.816030882716
"8",519.060471158437
"9",494.740415676955
"10",505.384294907407
"11",493.208853049383
"12",487.139111921811
"13",519.567201397119
"14",500.721065417696
"15",505.287157923868
"16",496.215085211934
"17",505.324151360083
"18",511.032865057613
"19",494.708526547325
"20",490.27697905144
"21",477.489736730453
"22",505.572170117284
"23",509.852387288066
"24",499.642586794239
"25",490.120327604938
"26",555.962448742798
"27",528.441088917695
"28",532.508875668724
"29",516.491257958848
"30",542.645328493827
"31",552.914658179012
"32",543.670327331276
"33",534.79722504321
"34",544.871102930041
"35",544.742462423868
