"","x"
"1",227.289057565248
"2",196.924005569276
"3",221.237524995796
"4",229.938187530216
"5",226.04428408583
"6",226.941461597127
"7",220.833846641268
"8",233.806944175337
"9",226.254544245227
"10",229.477485181117
"11",223.980716743213
"12",223.743055524785
"13",238.538077760028
"14",229.202059525661
"15",229.099955657558
"16",227.761557807497
"17",231.432489410405
"18",233.042244054475
"19",226.568541033105
"20",223.063154460501
"21",219.14527863286
"22",230.618624596952
"23",232.941950771589
"24",228.361083255386
"25",225.938946886145
"26",242.429624118935
"27",238.282724380277
"28",241.602066796286
"29",234.05959744281
"30",247.732593886495
"31",257.690107943773
"32",255.194375715712
"33",246.272732041864
"34",251.964836637415
"35",249.306855171659
