"","x"
"1",150.536493742092
"2",115.081466255474
"3",148.684426114355
"4",162.642252357664
"5",157.04343263747
"6",154.784672861314
"7",146.905980065693
"8",156.955008350365
"9",150.63527822871
"10",153.920188678832
"11",146.795653489051
"12",148.270812172749
"13",164.047585523114
"14",152.321993420925
"15",149.870920175182
"16",151.875871608272
"17",155.154021734793
"18",159.00514243309
"19",151.945398744526
"20",149.168839965937
"21",147.72933336983
"22",156.523617231144
"23",161.224582798053
"24",157.641382508516
"25",154.723384476886
"26",155.504929683698
"27",166.109476352798
"28",168.569518141119
"29",157.978372854015
"30",175.861013347932
"31",194.924685223844
"32",186.366409296837
"33",173.753731742092
"34",181.791003693431
"35",178.851907041363
