"","x"
"1",341.40517268018
"2",299.19305445045
"3",334.068097795045
"4",342.15734961937
"5",336.308918835586
"6",337.473639344595
"7",337.296574511261
"8",351.234708765766
"9",341.700971923423
"10",344.977071331081
"11",340.23791934009
"12",340.706295506757
"13",359.146030150901
"14",343.069183677928
"15",340.881314709459
"16",334.4833825
"17",346.28665197973
"18",346.539892846847
"19",343.030232648649
"20",333.552628256757
"21",329.612207538289
"22",345.592813768018
"23",348.204459644144
"24",341.406987272522
"25",333.500626427928
"26",372.475989556306
"27",357.695881515766
"28",365.478775027027
"29",352.73079513964
"30",374.032293673423
"31",374.952100029279
"32",375.536976605856
"33",365.263997425676
"34",370.833712612613
"35",368.912037885135
