"","x"
"1",658.368909845238
"2",598.045040092857
"3",644.98110357381
"4",665.425556797619
"5",657.993180940476
"6",659.117250833333
"7",640.065209414286
"8",669.703263769047
"9",656.560771292857
"10",662.951660361905
"11",649.984562116666
"12",649.600706742857
"13",681.607324214286
"14",666.895836935714
"15",667.945334645237
"16",666.948249530952
"17",671.548013630953
"18",673.617657292857
"19",656.953984530952
"20",652.388799835714
"21",649.141266590476
"22",662.617147419047
"23",669.646684671429
"24",654.805792759524
"25",657.593094642857
"26",684.065737904762
"27",684.749128457142
"28",689.367653164286
"29",674.735739940476
"30",697.8579721
"31",727.799634361905
"32",714.503151476191
"33",694.663435419048
"34",710.528884942857
"35",704.248691352381
