"","x"
"1",439.527886067227
"2",379.337893910364
"3",424.559465434174
"4",439.671330885154
"5",432.30555457423
"6",439.163957154062
"7",429.675166694678
"8",457.93037110084
"9",438.153442428572
"10",446.681674697479
"11",437.771155310924
"12",434.573090918767
"13",468.46034770028
"14",444.903310605042
"15",445.64042497479
"16",437.611591411765
"17",452.695581112045
"18",452.326099078431
"19",442.353019319328
"20",432.069417243698
"21",423.209759361344
"22",447.390634392157
"23",454.63826189916
"24",444.26370777591
"25",436.711603439776
"26",493.418375896358
"27",470.158657016807
"28",478.457507484594
"29",460.595068857143
"30",492.27454745098
"31",498.28898347619
"32",491.466866137255
"33",477.886451887955
"34",484.912310652661
"35",488.10870092437
