"","x"
"1",67.1319115169635
"2",53.2733740275658
"3",65.5268315148431
"4",69.191982980916
"5",67.4266916212892
"6",67.2457818761663
"7",66.3038171361324
"8",69.7387580856659
"9",67.034408259542
"10",67.8177665195081
"11",66.3736758502969
"12",66.582801913486
"13",71.9474011513994
"14",67.5664583731976
"15",67.2106448341816
"16",66.8872308490246
"17",68.7442405301103
"18",69.5452067442749
"19",68.0283896357082
"20",66.0660159067006
"21",63.9871425640373
"22",68.8812576284988
"23",69.9998001471586
"24",69.5527682493638
"25",68.6491626191688
"26",71.7923033282443
"27",71.124214053011
"28",72.5265375954198
"29",69.897826701866
"30",75.8458216810857
"31",80.7600278753181
"32",81.6285204991519
"33",76.5328094223918
"34",77.6670422226463
"35",76.35403864419
