"","x"
"1",842.576629333333
"2",783.656403333333
"3",803.838547833333
"4",829.177362166667
"5",822.5231025
"6",811.626554583333
"7",797.29056625
"8",859.794606833333
"9",837.550015083333
"10",844.332986833333
"11",778.81064225
"12",818.674609583333
"13",840.153508583333
"14",809.977335416667
"15",797.994702333333
"16",805.080123666667
"17",825.432133083333
"18",805.9187245
"19",793.324373
"20",803.25082
"21",765.4899555
"22",805.292957166667
"23",824.172666666667
"24",799.673374833333
"25",814.559594
"26",836.378011
"27",823.735836083333
"28",868.621601916667
"29",849.749349
"30",841.358981583333
"31",867.236942916667
"32",856.84865
"33",828.081694833333
"34",879.5385735
"35",895.839591916667
