"","x"
"1",651.043643876543
"2",607.256894884774
"3",622.48607742181
"4",642.212792613169
"5",634.434057981481
"6",626.130696639918
"7",614.246199409465
"8",657.30108059465
"9",640.516973751029
"10",648.718094032922
"11",605.609693662552
"12",636.935525907407
"13",656.163588403292
"14",636.52810777572
"15",626.502266977366
"16",629.118702522634
"17",641.806015104939
"18",625.055160187243
"19",614.925135736625
"20",622.935079320988
"21",597.729802481482
"22",626.093736261317
"23",639.77313268107
"24",621.370441709877
"25",631.331079298354
"26",644.698092022634
"27",636.042864183128
"28",669.351352794239
"29",657.128129205761
"30",652.793036495885
"31",671.384307059671
"32",664.747442977366
"33",643.758515063786
"34",680.181229049383
"35",690.883576257202
