"","x"
"1",178.372331051565
"2",160.802479044199
"3",167.710582197053
"4",178.161768338858
"5",177.022747821363
"6",173.134265677716
"7",168.659921718232
"8",181.976147876611
"9",175.188728928177
"10",175.671223786372
"11",160.401426889503
"12",173.506794128913
"13",181.337363867403
"14",174.41864739779
"15",171.009414767956
"16",174.200010965009
"17",180.187365639042
"18",173.688380178637
"19",168.371255134438
"20",172.354669764273
"21",162.311257769797
"22",170.659090104972
"23",176.723274128913
"24",169.494112604052
"25",173.237962552486
"26",175.412881486188
"27",174.391226570902
"28",186.721218143646
"29",183.119235587477
"30",182.875778335175
"31",190.777700241252
"32",185.983263808471
"33",177.402850721915
"34",190.732905801105
"35",196.478754767956
