"","x"
"1",721.625970768116
"2",680.199752600644
"3",692.361286879227
"4",710.83858384541
"5",701.617173281804
"6",692.259732874396
"7",680.618113407408
"8",723.702028405797
"9",706.586974603865
"10",714.413925204509
"11",672.079266085346
"12",703.522529909823
"13",724.257099077295
"14",710.306783286634
"15",699.811018111111
"16",704.528923070853
"17",713.790236022544
"18",697.089211959742
"19",683.5542367343
"20",693.06462704992
"21",666.071960943639
"22",694.184769095008
"23",703.818248811594
"24",684.937272793881
"25",695.006201628019
"26",707.672974610306
"27",701.543627605475
"28",734.003780716587
"29",723.23181894686
"30",720.673496987117
"31",737.610181148148
"32",734.479201425121
"33",713.699832761675
"34",752.24110952335
"35",756.96281921256
