"","x"
"1",82.830895721166
"2",68.8281446869454
"3",73.1255965247149
"4",78.6555153320659
"5",76.9560901013942
"6",74.0842782775665
"7",71.588661697085
"8",81.8820324790875
"9",77.486484798479
"10",78.1944818466413
"11",68.1955592281369
"12",77.096916634981
"13",82.7539693612167
"14",77.7035378567807
"15",75.7464985323194
"16",77.2214072953105
"17",81.6008876324462
"18",76.3889495728771
"19",74.2847622598225
"20",77.825866634981
"21",71.085424765526
"22",76.4662174283903
"23",80.7045745792142
"24",74.9970923346008
"25",75.6904110101394
"26",76.8655672230671
"27",76.2738316907478
"28",84.828535842839
"29",82.0441644461344
"30",82.938554922687
"31",90.4000024613435
"32",90.6025893016476
"33",82.2142267401774
"34",93.1551478314322
"35",92.7238615285171
