"","x"
"1",300.994254838326
"2",277.855160253284
"3",285.781390142407
"4",295.804308801892
"5",292.680863863374
"6",288.076607835172
"7",282.50885745402
"8",302.858935879839
"9",294.555937022421
"10",297.28901926467
"11",276.60829400508
"12",292.793858766509
"13",303.071201539499
"14",294.325517125066
"15",289.538991056052
"16",292.286350878788
"17",298.59786711911
"18",289.578411905238
"19",284.554514649676
"20",289.13535292468
"21",276.860836562095
"22",289.038102560869
"23",295.776029027676
"24",285.772152287616
"25",290.400139109301
"26",294.697999667893
"27",292.356641145735
"28",308.635398666667
"29",303.350107622176
"30",302.36480090366
"31",312.614357074619
"32",310.230122852864
"33",298.357317563321
"34",317.355390304256
"35",320.716316335436
