"","x"
"1",190.407893761557
"2",170.063755871046
"3",177.717728873479
"4",189.021047306569
"5",187.900870333333
"6",182.208788963504
"7",177.240473673966
"8",194.166539114355
"9",185.346744386861
"10",185.923798819951
"11",166.981023457421
"12",183.554446364963
"13",192.936326041362
"14",184.76777936983
"15",178.996436673966
"16",181.789575912409
"17",189.021850326034
"18",181.749135323601
"19",177.306502552311
"20",184.734396737226
"21",172.859288756691
"22",183.81786790511
"23",190.647838150852
"24",180.263292306569
"25",184.211831418491
"26",187.349870321168
"27",186.867142187348
"28",201.962287486618
"29",196.245928846715
"30",196.649493805353
"31",206.006610625304
"32",199.05256649635
"33",188.734269754258
"34",205.808633124088
"35",212.658807316302
