"","x"
"1",437.845990182432
"2",403.381590653153
"3",416.98976009009
"4",429.650430432432
"5",426.58166179955
"6",420.648370441441
"7",413.607855191441
"8",441.898253425676
"9",430.736229277027
"10",433.791562691442
"11",404.651813682433
"12",426.486976603604
"13",440.106351414414
"14",427.355292851351
"15",420.395513256757
"16",424.981790509009
"17",432.870932054054
"18",419.09203913964
"19",412.430003833333
"20",416.134682049549
"21",400.914913259009
"22",416.796383560811
"23",426.019913664415
"24",412.760588358108
"25",420.539525745495
"26",425.106758867117
"27",423.009404216216
"28",444.532977153153
"29",438.54596777027
"30",437.257150786036
"31",450.263441418919
"32",450.301908290541
"33",433.730400509009
"34",461.778242225225
"35",463.086714623874
