"","x"
"1",877.29082932619
"2",831.132001095238
"3",845.124981792857
"4",863.819451366667
"5",857.564827016667
"6",847.006507192857
"7",836.899379385714
"8",877.570154554762
"9",861.459868076191
"10",867.259700602381
"11",824.534736333333
"12",857.655559245238
"13",881.570517264286
"14",864.182292028572
"15",855.367930971429
"16",858.125283038095
"17",872.840126114286
"18",853.987076911905
"19",846.18282025
"20",855.3819068
"21",834.427460707143
"22",854.87274977381
"23",870.060531997619
"24",847.928870709524
"25",858.618018688095
"26",865.866078097619
"27",862.318050676191
"28",892.888960830952
"29",882.216759542857
"30",876.280521261905
"31",900.858760890476
"32",894.695807271429
"33",869.46957899762
"34",907.141077871429
"35",915.133509390476
