"","x"
"1",568.233628719888
"2",519.6158337507
"3",537.784329364146
"4",559.126237277311
"5",551.835016263305
"6",543.766874540616
"7",531.410708243698
"8",577.811132156863
"9",559.723613736695
"10",567.96251805042
"11",521.156053134454
"12",555.490275383753
"13",579.918203162465
"14",558.791187215686
"15",549.023525308123
"16",555.730074366947
"17",570.001402845938
"18",547.57751305042
"19",539.30563562465
"20",545.716089745098
"21",520.95231177591
"22",547.265008952381
"23",562.822570994398
"24",540.888475187675
"25",551.459075683473
"26",560.092325036414
"27",552.822133380952
"28",589.983151627451
"29",578.315447798319
"30",574.814269420168
"31",594.263133602241
"32",586.251550893558
"33",563.039748728291
"34",601.461835935574
"35",615.451648268907
