"","x"
"1",91.8003425012722
"2",81.2774274092451
"3",85.1079344728584
"4",89.2522255746395
"5",88.4387098320611
"6",86.8501955135708
"7",84.4638032637829
"8",92.2982022905005
"9",89.2235116764208
"10",89.9139986781171
"11",82.1771130165394
"12",88.663329254877
"13",92.2854887514843
"14",88.5902489910941
"15",86.8072043214588
"16",88.5122211340118
"17",90.9816613698049
"18",87.2746111102629
"19",85.5087739639525
"20",87.2394343256997
"21",82.2207799414757
"22",86.8525574062766
"23",89.7766404228159
"24",85.7521953469041
"25",87.3875974957591
"26",88.5855257133164
"27",87.8982749915182
"28",94.6769573833758
"29",92.7154225072095
"30",92.9460637955895
"31",97.4905471344359
"32",97.1640004414758
"33",91.6787114016115
"34",99.5336501603053
"35",99.904917644614
